INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
50102008	5	1	2	8	Gem1_2_6	1	纯净绿晶石(1级)	纯净的绿晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	智慧宝石	17	2004	1
50103001	5	1	3	1	Gem1_1_2	1	紫玉(1级)	紫色玉石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G玄微宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	142	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	玄微宝石	7	2004	1
50104002	5	1	4	2	Gem1_1_8	1	变石(1级)	在阳光下呈绿色，在烛光下呈红色，可变色的宝石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G幻冥宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	幻冥宝石	8	2004	1
50111001	5	1	11	1	Gem1_1_9	1	石榴石(1级)	因其外形酷似成熟的石榴籽而得名的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G生命宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	生命宝石	7	2004	1
50111002	5	1	11	2	Gem1_1_12	1	尖晶石(1级)	颜色繁多且艳丽的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G生命宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	生命宝石	11	2004	1
50112001	5	1	12	1	Gem1_1_11	1	黄玉(1级)	黄色的玉石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	12	2004	1
50112002	5	1	12	2	Gem1_1_10	1	皓石(1级)	闪闪发亮的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	2	2004	1
50112003	5	1	12	3	Gem1_1_13	1	月光石(1级)	具淡蓝色的晕彩，如同朦胧的月光的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	4	2004	1
50112004	5	1	12	4	Gem1_2_1	1	碧玺(1级)	颜色繁多且艳丽的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G1级宝石雕琢符#W提升宝石属性。#r本宝石只能雕琢一次。	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	3	2004	1
50112005	5	1	12	5	Gem1_2_10	1	纯净黄玉(1级)	纯净的黄玉，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	16	2004	1
50112006	5	1	12	6	Gem1_2_14	1	纯净皓石(1级)	纯净的皓石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	17	2004	1
50112007	5	1	12	7	Gem1_2_11	1	纯净月光石(1级)	纯净的月光石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	15	2004	1
50112008	5	1	12	8	Gem1_2_15	1	纯净碧玺(1级)	纯净的碧玺，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	魅力宝石	14	2004	1
50113001	5	1	13	1	Gem1_1_15	1	黄宝石(1级)	黄色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	命运宝石	5	2004	1
50113002	5	1	13	2	Gem1_1_16	1	蓝宝石(1级)	蓝色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	命运宝石	6	2004	1
50113003	5	1	13	3	Gem1_1_7	1	绿宝石(1级)	绿色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	命运宝石	9	2004	1
50113004	5	1	13	4	Gem1_2_2	1	红宝石(1级)	红色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	命运宝石	10	2004	1
50113005	5	1	13	5	Gem1_2_3	1	黑宝石(1级)	黑色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	命运宝石	1	2004	1
50113006	5	1	13	6	Gem1_2_7	1	血精石(1级)	布满血丝红精的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	100000	1000	723	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	命运宝石	13	2004	1
50114001	5	1	14	1	Gem1_1_14	1	祖母绿(1级)	翠绿如滴，顶级翡翠，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G天机宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	天机宝石	8	2004	1
50121001	5	1	21	1	Gemjiankang_1	1	黄冥石(1级)	黄色的冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r可在楼兰（219，228）程咬铁处琢刻为黄冥晶石。琢刻后的宝石将可同时拥有忽略目标玄抗和玄攻击两种属性。#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	胜利宝石	31	2004	1
50121002	5	1	21	2	Gemjiankang_13	1	蓝冥石(1级)	蓝色的冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r可在楼兰（219，228）程咬铁处琢刻为黄冥晶石。琢刻后的宝石将可同时拥有忽略目标玄抗和玄攻击两种属性。#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	胜利宝石	32	2004	1
50121003	5	1	21	3	Gemjiankang_9	1	红冥石(1级)	红色的冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r可在楼兰（219，228）程咬铁处琢刻为黄冥晶石。琢刻后的宝石将可同时拥有忽略目标玄抗和玄攻击两种属性。#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	胜利宝石	33	2004	1
50121004	5	1	21	4	Gemjiankang_5	1	绿冥石(1级)	绿色的冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r可在楼兰（219，228）程咬铁处琢刻为黄冥晶石。琢刻后的宝石将可同时拥有忽略目标玄抗和玄攻击两种属性。#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	FFFFFF0B	胜利宝石	34	2004	1
																																																																															
50201001	5	2	1	1	Gem1_2_4	1	猫眼石(2级)	象猫眼一样的宝石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G希望宝石	50000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	249	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	希望宝石	1	2004	1
